_id,WARD,WARD_FULLNAME
369,10,Spadina-Fort York
370,13,Toronto Centre
371,10,Spadina-Fort York
372,22,Scarborough-Agincourt
373,4,Parkdale-High Park
374,10,Spadina-Fort York
375,13,Toronto Centre
376,13,Toronto Centre
377,10,Spadina-Fort York
378,6,York Centre
379,10,Spadina-Fort York
380,13,Toronto Centre
381,11,University-Rosedale
382,10,Spadina-Fort York
383,10,Spadina-Fort York
384,10,Spadina-Fort York
385,17,Don Valley North
386,13,Toronto Centre
387,10,Spadina-Fort York
388,10,Spadina-Fort York
389,12,Toronto-St. Paul's
390,11,University-Rosedale
391,10,Spadina-Fort York
392,10,Spadina-Fort York
393,10,Spadina-Fort York
394,6,York Centre
395,10,Spadina-Fort York
396,17,Don Valley North
397,10,Spadina-Fort York
398,18,Willowdale
399,10,Spadina-Fort York
400,10,Spadina-Fort York
401,10,Spadina-Fort York
402,10,Spadina-Fort York
403,13,Toronto Centre
404,11,University-Rosedale
405,11,University-Rosedale
406,10,Spadina-Fort York
407,10,Spadina-Fort York
408,10,Spadina-Fort York
409,10,Spadina-Fort York
